symbol,security_id,name,exchange_segment
MAPMYINDIA,7227,C.E. Info Systems Ltd.,NSE_EQ
MARICO,4067,Marico Ltd.,NSE_EQ
MARUTI,10999,Maruti Suzuki India Ltd.,NSE_EQ
MAXHEALTH,22377,Max Healthcare Institute Ltd.,NSE_EQ
MAZDOCK,509,Mazagoan Dock Shipbuilders Ltd.,NSE_EQ
MCX,31181,Multi Commodity Exchange of India Ltd.,NSE_EQ
MEDANTA,11956,Global Health Ltd.,NSE_EQ
MEESHO,760229,Meesho Ltd.,NSE_EQ
MFSL,2142,Max Financial Services Ltd.,NSE_EQ
MGL,17534,Mahanagar Gas Ltd.,NSE_EQ
MINDACORP,25897,Minda Corporation Ltd.,NSE_EQ
MMTC,17957,MMTC Ltd.,NSE_EQ
MOTHERSON,4204,Samvardhana Motherson International Ltd.,NSE_EQ
MOTILALOFS,14947,Motilal Oswal Financial Services Ltd.,NSE_EQ
MPHASIS,4503,MphasiS Ltd.,NSE_EQ
MRF,2277,MRF Ltd.,NSE_EQ
MRPL,2283,Mangalore Refinery & Petrochemicals Ltd.,NSE_EQ
MSUMI,8596,Motherson Sumi Wiring India Ltd.,NSE_EQ
MUTHOOTFIN,23650,Muthoot Finance Ltd.,NSE_EQ
NAM-INDIA,357,Nippon Life India Asset Management Ltd.,NSE_EQ
NATCOPHARM,3918,NATCO Pharma Ltd.,NSE_EQ
NATIONALUM,6364,National Aluminium Co. Ltd.,NSE_EQ
NAUKRI,13751,Info Edge (India) Ltd.,NSE_EQ
NAVA,4014,Nava Ltd.,NSE_EQ
NAVINFLUOR,14672,Navin Fluorine International Ltd.,NSE_EQ
NBCC,31415,NBCC (India) Ltd.,NSE_EQ
NCC,2319,NCC Ltd.,NSE_EQ
NESTLEIND,17963,Nestle India Ltd.,NSE_EQ
NETWEB,17433,Netweb Technologies India Ltd.,NSE_EQ
NEULANDLAB,2406,Neuland Laboratories Ltd.,NSE_EQ
NEWGEN,1164,Newgen Software Technologies Ltd.,NSE_EQ
NH,11840,Narayana Hrudayalaya Ltd.,NSE_EQ
NHPC,17400,NHPC Ltd.,NSE_EQ
NIACL,399,The New India Assurance Company Ltd.,NSE_EQ
NIVABUPA,27097,Niva Bupa Health Insurance Company Ltd.,NSE_EQ
NLCINDIA,8585,NLC India Ltd.,NSE_EQ
NMDC,15332,NMDC Ltd.,NSE_EQ
NSLNISP,14180,NMDC Steel Ltd.,NSE_EQ
NTPC,11630,NTPC Ltd.,NSE_EQ
NTPCGREEN,27176,NTPC Green Energy Ltd.,NSE_EQ
NUVAMA,18721,Nuvama Wealth Management Ltd.,NSE_EQ
NUVOCO,5426,Nuvoco Vistas Corporation Ltd.,NSE_EQ
NYKAA,6545,FSN E-Commerce Ventures Ltd.,NSE_EQ
OBEROIRLTY,20242,Oberoi Realty Ltd.,NSE_EQ
OFSS,10738,Oracle Financial Services Software Ltd.,NSE_EQ
OIL,17438,Oil India Ltd.,NSE_EQ
OLAELEC,24777,Ola Electric Mobility Ltd.,NSE_EQ
OLECTRA,10637,Olectra Greentech Ltd.,NSE_EQ
ONESOURCE,29224,Onesource Specialty Pharma Ltd.,NSE_EQ
ONGC,2475,Oil & Natural Gas Corporation Ltd.,NSE_EQ
PAGEIND,14413,Page Industries Ltd.,NSE_EQ
PARADEEP,9741,Paradeep Phosphates Ltd.,NSE_EQ
PATANJALI,17029,Patanjali Foods Ltd.,NSE_EQ
PAYTM,6705,One 97 Communications Ltd.,NSE_EQ
PCBL,2649,PCBL Chemical Ltd.,NSE_EQ
PERSISTENT,18365,Persistent Systems Ltd.,NSE_EQ
PETRONET,11351,Petronet LNG Ltd.,NSE_EQ
PFC,14299,Power Finance Corporation Ltd.,NSE_EQ
PFIZER,2643,Pfizer Ltd.,NSE_EQ
PGEL,25358,PG Electroplast Ltd.,NSE_EQ
PHOENIXLTD,14552,Phoenix Mills Ltd.,NSE_EQ
PIDILITIND,2664,Pidilite Industries Ltd.,NSE_EQ
PIIND,24184,PI Industries Ltd.,NSE_EQ
